Rep,Slide,Transect,Het Grains,Malacothrix grains,,,,,,,,,,,,,
S3,2.3,3,1,4,1,1,1,2,5,,,,,,,,
S3,2.3,4,,3,1,1,1,,,,,,,,,,
S3,2.3,5,,1,1,1,1,1,2,3,1,,,,,,
S3,2.3,6,,2,2,1,1,1,,,,,,,,,
S3,2.3,7,3,1,2,3,,,,,,,,,,,
S3,2.3,8,,3,1,1,1,1,1,,,,,,,,
S3,2.3,9,1,2,1,1,6,,,,,,,,,,
S3,2.3,10,1,1,1,4,1,1,2,1,,,,,,,
S3,2.3,stigma,2,7,76,39,8,18,,,,,,,,,
S3,3.1,1,,2,3,,,,,,,,,,,,
S3,3.1,2,6,1,1,6,6,,,,,,,,,,
S3,3.1,3,,1,1,1,1,1,,,,,,,,,
S3,3.1,4,,1,1,1,,,,,,,,,,,
S3,3.1,5,3,1,1,6,,,,,,,,,,,
S3,3.1,6,1,2,1,2,,,,,,,,,,,
S3,3.1,7,1,2,,,,,,,,,,,,,
S3,3.1,8,2,1,1,1,2,,,,,,,,,,
S3,3.1,9,1,1,2,,,,,,,,,,,,
S3,3.1,10,,2,4,,,,,,,,,,,,
S3,3.1,stigma,1,3,,,,,,,,,,,,,
S3,3.2,1,,2,10,8,1,,,,,,,,,,
S3,3.2,2,,1,9,,,,,,,,,,,,
S3,3.2,3,1,4,,,,,,,,,,,,,
S3,3.2,4,,2,,,,,,,,,,,,,
S3,3.2,5,,3,,,,,,,,,,,,,
S3,3.2,6,,0,,,,,,,,,,,,,
S3,3.2,7,,0,,,,,,,,,,,,,
S3,3.2,8,8,14,8,2,,,,,,,,,,,
S3,3.2,9,,3,,,,,,,,,,,,,
S3,3.2,10,1,0,,,,,,,,,,,,,
S3,3.2,stigma,1,1,,,,,,,,,,,,,
S3,3.3,1,,1,1,,,,,,,,,,,,
S3,3.3,2,,0,,,,,,,,,,,,,
S3,3.3,3,,0,,,,,,,,,,,,,
S3,3.3,4,,0,,,,,,,,,,,,,
S3,3.3,5,,0,,,,,,,,,,,,,
S3,3.3,6,,2,,,,,,,,,,,,,
S3,3.3,7,,0,,,,,,,,,,,,,
S3,3.3,8,,0,,,,,,,,,,,,,
S3,3.3,9,1,1,,,,,,,,,,,,,
S3,3.3,10,,1,,,,,,,,,,,,,
S3,3.3,stigma,,0,,,,,,,,,,,,,
O3,1.1,1,,8,2,,,,,,,,,,,,
O3,1.1,2,2,1,2,,,,,,,,,,,,
O3,1.1,3,,1,1,,,,,,,,,,,,
O3,1.1,4,,0,,,,,,,,,,,,,
O3,1.1,5,,1,,,,,,,,,,,,,
O3,1.1,6,,3,,,,,,,,,,,,,
O3,1.1,7,,1,2,,,,,,,,,,,,
O3,1.1,8,,2,,,,,,,,,,,,,
O3,1.1,9,1,2,1,3,,,,,,,,,,,
O3,1.1,10,2,2,2,2,3,3,,,,,,,,,
O3,1.1,stigma,,18,,,,,,,,,,,,,
O3,1.2,1,1,2,1,1,1,,,,,,,,,,
O3,1.2,2,2,1,4,,,,,,,,,,,,
O3,1.2,3,,5,1,,,,,,,,,,,,
O3,1.2,4,2,3,6,,,,,,,,,,,,
O3,1.2,5,,0,,,,,,,,,,,,,
O3,1.2,6,,0,,,,,,,,,,,,,
O3,1.2,7,,1,,,,,,,,,,,,,
O3,1.2,8,,0,,,,,,,,,,,,,
O3,1.2,9,,1,,,,,,,,,,,,,
O3,1.2,10,1,0,,,,,,,,,,,,,
O3,1.2,stigma,,6,,,,,,,,,,,,,
O3,1.3,1,,2,1,1,,,,,,,,,,,
O3,1.3,2,1,8,1,,,,,,,,,,,,
O3,1.3,3,,0,,,,,,,,,,,,,
O3,1.3,4,,1,,,,,,,,,,,,,
O3,1.3,5,1,0,,,,,,,,,,,,,
O3,1.3,6,,1,1,,,,,,,,,,,,
O3,1.3,7,,1,1,,,,,,,,,,,,
O3,1.3,8,2,1,1,1,,,,,,,,,,,
O3,1.3,9,1,0,,,,,,,,,,,,,
O3,1.3,10,,0,,,,,,,,,,,,,
O3,1.3,stigma,1,5,11,,,,,,,,,,,,
O3,2.1,1,1,5,1,2,6,,,,,,,,,,
O3,2.1,2,1,5,9,1,1,2,,,,,,,,,
O3,2.1,3,,1,1,2,2,,,,,,,,,,
O3,2.1,4,,0,,,,,,,,,,,,,
O3,2.1,5,1,0,,,,,,,,,,,,,
O3,2.1,6,,1,2,,,,,,,,,,,,
O3,2.1,7,1,1,1,1,2,,,,,,,,,,
O3,2.1,8,,2,1,2,5,,,,,,,,,,
O3,2.1,9,2,3,1,1,,,,,,,,,,,
O3,2.1,10,1,1,1,3,1,1,7,,,,,,,,
O3,2.1,stigma,1,5,,,,,,,,,,,,,
O3,2.2,1,2,1,,,,,,,,,,,,,
O3,2.2,2,,0,,,,,,,,,,,,,
O3,2.2,3,1,0,,,,,,,,,,,,,
O3,2.2,4,3,2,1,,,,,,,,,,,,
O3,2.2,5,,1,,,,,,,,,,,,,
O3,2.2,6,,0,,,,,,,,,,,,,
O3,2.2,7,1,1,,,,,,,,,,,,,
O3,2.2,8,1,0,,,,,,,,,,,,,
O3,2.2,9,2,2,,,,,,,,,,,,,
O3,2.2,10,,1,1,,,,,,,,,,,,
O3,2.2,stigma,,9,,,,,,,,,,,,,
O3,2.3,1,1,9,5,1,1,1,,,,,,,,,
O3,2.3,2,3,1,6,1,,,,,,,,,,,
O3,2.3,3,3,2,1,1,,,,,,,,,,,
O3,2.3,4,2,9,1,5,1,,,,,,,,,,
O3,2.3,5,,1,1,,,,,,,,,,,,
O3,2.3,6,,1,1,3,,,,,,,,,,,
O3,2.3,7,2,13,4,,,,,,,,,,,,
O3,2.3,8,,1,2,3,1,,,,,,,,,,
O3,2.3,9,2,4,5,,,,,,,,,,,,
O3,2.3,10,,3,2,1,4,,,,,,,,,,
O3,2.3,stigma,,34,,,,,,,,,,,,,
O3,3.1,1,,0,,,,,,,,,,,,,
O3,3.1,2,,5,,,,,,,,,,,,,
O3,3.1,3,1,1,1,,,,,,,,,,,,
O3,3.1,4,,1,1,2,,,,,,,,,,,
O3,3.1,5,,3,,,,,,,,,,,,,
O3,3.1,6,,1,,,,,,,,,,,,,
O3,3.1,7,,0,,,,,,,,,,,,,
O3,3.1,8,,2,,,,,,,,,,,,,
O3,3.1,9,,1,3,2,,,,,,,,,,,
O3,3.1,10,,1,,,,,,,,,,,,,
O3,3.1,stigma,,9,,,,,,,,,,,,,
O3,3.2,1,1,0,,,,,,,,,,,,,
O3,3.2,2,,1,1,1,1,1,,,,,,,,,
O3,3.2,3,1,2,1,,,,,,,,,,,,
O3,3.2,4,1,1,1,1,3,,,,,,,,,,
O3,3.2,5,3,1,,,,,,,,,,,,,
O3,3.2,6,1,1,,,,,,,,,,,,,
O3,3.2,7,1,1,2,,,,,,,,,,,,
O3,3.2,8,,0,,,,,,,,,,,,,
O3,3.2,9,,2,,,,,,,,,,,,,
O3,3.2,10,,0,,,,,,,,,,,,,
O3,3.2,stigma,,20,,,,,,,,,,,,,
O3,3.3,1,2,1,1,4,,,,,,,,,,,
O3,3.3,2,1,1,1,1,,,,,,,,,,,
O3,3.3,3,3,1,2,1,3,,,,,,,,,,
O3,3.3,4,2,1,,,,,,,,,,,,,
O3,3.3,5,1,0,,,,,,,,,,,,,
O3,3.3,6,,3,1,,,,,,,,,,,,
O3,3.3,7,,0,,,,,,,,,,,,,
O3,3.3,8,,1,,,,,,,,,,,,,
O3,3.3,9,,1,1,,,,,,,,,,,,
O3,3.3,10,,1,,,,,,,,,,,,,
O3,3.3,stigma,2,8,6,,,,,,,,,,,,
S4,1.1,1,,1,1,1,,,,,,,,,,,
S4,1.1,2,,1,1,2,1,1,8,,,,,,,,
S4,1.1,3,,3,1,1,2,1,,,,,,,,,
S4,1.1,4,1,1,2,,,,,,,,,,,,
S4,1.1,5,,6,1,,,,,,,,,,,,
S4,1.1,6,,1,2,2,,,,,,,,,,,
S4,1.1,7,1,1,,,,,,,,,,,,,
S4,1.1,8,,1,,,,,,,,,,,,,
S4,1.1,9,1,0,,,,,,,,,,,,,
S4,1.1,10,,1,,,,,,,,,,,,,
S4,1.1,stigma,,5,,,,,,,,,,,,,
S4,1.2,1,1,0,,,,,,,,,,,,,
S4,1.2,2,1,0,,,,,,,,,,,,,
S4,1.2,3,,0,,,,,,,,,,,,,
S4,1.2,4,,0,,,,,,,,,,,,,
S4,1.2,5,,1,1,,,,,,,,,,,,
S4,1.2,6,,1,,,,,,,,,,,,,
S4,1.2,7,,0,,,,,,,,,,,,,
S4,1.2,8,,1,,,,,,,,,,,,,
S4,1.2,9,,0,,,,,,,,,,,,,
S4,1.2,10,,1,,,,,,,,,,,,,
S4,1.2,stigma,,5,,,,,,,,,,,,,
S4,1.3,1,1,4,1,2,1,1,2,,,,,,,,
S4,1.3,2,,3,3,,,,,,,,,,,,
S4,1.3,3,,4,,,,,,,,,,,,,
S4,1.3,4,1,6,,,,,,,,,,,,,
S4,1.3,5,,1,1,,,,,,,,,,,,
S4,1.3,6,,1,1,1,,,,,,,,,,,
S4,1.3,7,1,5,,,,,,,,,,,,,
S4,1.3,8,,1,1,,,,,,,,,,,,
S4,1.3,9,,3,,,,,,,,,,,,,
S4,1.3,10,,1,1,,,,,,,,,,,,
S4,1.3,stigma,,10,,,,,,,,,,,,,
S4,2.1,1,,0,,,,,,,,,,,,,
S4,2.1,2,,1,,,,,,,,,,,,,
S4,2.1,3,,0,,,,,,,,,,,,,
S4,2.1,4,,0,,,,,,,,,,,,,
S4,2.1,5,,1,,,,,,,,,,,,,
S4,2.1,6,1,0,,,,,,,,,,,,,
S4,2.1,7,,1,1,,,,,,,,,,,,
S4,2.1,8,,1,,,,,,,,,,,,,
S4,2.1,9,,2,1,3,2,,,,,,,,,,
S4,2.1,10,,1,,,,,,,,,,,,,
S4,2.1,stigma,1,3,,,,,,,,,,,,,
S4,2.2,1,,1,2,,,,,,,,,,,,
S4,2.2,2,,7,3,2,1,1,2,3,,,,,,,
S4,2.2,3,1,2,1,1,3,4,,,,,,,,,
S4,2.2,4,1,2,2,,,,,,,,,,,,
S4,2.2,5,,2,1,1,3,,,,,,,,,,
S4,2.2,6,,4,1,,,,,,,,,,,,
S4,2.2,7,,1,1,3,,,,,,,,,,,
S4,2.2,8,1,3,4,,,,,,,,,,,,
S4,2.2,9,,2,1,2,,,,,,,,,,,
S4,2.2,10,,2,1,1,4,,,,,,,,,,
S4,2.2,stigma,,39,,,,,,,,,,,,,
S4,2.3,1,,2,4,1,4,1,5,,,,,,,,
S4,2.3,2,1,0,,,,,,,,,,,,,
S4,2.3,3,1,1,1,2,1,,,,,,,,,,
S4,2.3,4,,1,5,,,,,,,,,,,,
S4,2.3,5,1,1,1,3,2,2,,,,,,,,,
S4,2.3,6,,1,2,,,,,,,,,,,,
S4,2.3,7,,1,2,,,,,,,,,,,,
S4,2.3,8,,7,,,,,,,,,,,,,
S4,2.3,9,,1,,,,,,,,,,,,,
S4,2.3,10,5,2,,,,,,,,,,,,,
S4,2.3,stigma,1,19,,,,,,,,,,,,,
S4,3.1,1,,0,,,,,,,,,,,,,
S4,3.1,2,,0,,,,,,,,,,,,,
S4,3.1,3,,1,,,,,,,,,,,,,
S4,3.1,4,,0,,,,,,,,,,,,,
S4,3.1,5,,0,,,,,,,,,,,,,
S4,3.1,6,,1,,,,,,,,,,,,,
S4,3.1,7,,5,1,,,,,,,,,,,,
S4,3.1,8,,4,1,4,,,,,,,,,,,
S4,3.1,9,2,2,1,1,,,,,,,,,,,
S4,3.1,10,,0,,,,,,,,,,,,,
S4,3.1,stigma,,15,,,,,,,,,,,,,
S4,3.2,1,1,1,2,,,,,,,,,,,,
S4,3.2,2,,4,1,3,1,,,,,,,,,,
S4,3.2,3,2,1,1,,,,,,,,,,,,
S4,3.2,4,,3,1,,,,,,,,,,,,
S4,3.2,5,1,2,5,,,,,,,,,,,,
S4,3.2,6,,4,1,1,,,,,,,,,,,
S4,3.2,7,,2,,,,,,,,,,,,,
S4,3.2,8,,1,1,,,,,,,,,,,,
S4,3.2,9,,1,1,,,,,,,,,,,,
S4,3.2,10,2,1,1,1,,,,,,,,,,,
S4,3.2,stigma,1,7,,,,,,,,,,,,,
S4,3.3,1,1,5,1,1,2,1,8,,,,,,,,
S4,3.3,2,,6,2,,,,,,,,,,,,
S4,3.3,3,,1,2,1,9,,,,,,,,,,
S4,3.3,4,,3,2,4,,,,,,,,,,,
S4,3.3,5,1,2,,,,,,,,,,,,,
S4,3.3,6,,0,,,,,,,,,,,,,
S4,3.3,7,2,2,4,,,,,,,,,,,,
S4,3.3,8,1,1,3,1,,,,,,,,,,,
S4,3.3,9,1,1,1,1,1,5,10,,,,,,,,
S4,3.3,10,3,3,4,5,1,2,1,,,,,,,,
S4,3.3,stigma,1,20,,,,,,,,,,,,,
O4,1.1,1,,2,2,2,2,1,1,1,,,,,,,
O4,1.1,2,,1,1,1,1,1,1,2,4,,,,,,
O4,1.1,3,,11,1,1,6,1,,,,,,,,,
O4,1.1,4,,1,1,,,,,,,,,,,,
O4,1.1,5,,1,1,,,,,,,,,,,,
O4,1.1,6,,3,1,,,,,,,,,,,,
O4,1.1,7,,1,,,,,,,,,,,,,
O4,1.1,8,,1,,,,,,,,,,,,,
O4,1.1,9,,1,3,1,,,,,,,,,,,
O4,1.1,10,1,1,1,4,1,,,,,,,,,,
O4,1.1,stigma,,27,,,,,,,,,,,,,
O4,1.2,1,,0,,,,,,,,,,,,,
O4,1.2,2,1,3,1,1,1,3,2,1,,,,,,,
O4,1.2,3,1,5,1,,,,,,,,,,,,
O4,1.2,4,,6,1,3,2,1,4,,,,,,,,
O4,1.2,5,2,7,3,2,1,5,2,,,,,,,,
O4,1.2,6,1,1,5,1,5,,,,,,,,,,
O4,1.2,7,,7,1,4,,,,,,,,,,,
O4,1.2,8,,11,1,2,3,2,,,,,,,,,
O4,1.2,9,1,6,1,2,,,,,,,,,,,
O4,1.2,10,,4,1,1,1,9,6,4,2,,,,,,
O4,1.2,stigma,1,25,,,,,,,,,,,,,
O4,1.3,1,1,1,,,,,,,,,,,,,
O4,1.3,2,1,1,1,1,,,,,,,,,,,
O4,1.3,3,,0,,,,,,,,,,,,,
O4,1.3,4,,1,,,,,,,,,,,,,
O4,1.3,5,1,1,,,,,,,,,,,,,
O4,1.3,6,,1,2,,,,,,,,,,,,
O4,1.3,7,,2,1,1,1,,,,,,,,,,
O4,1.3,8,,1,,,,,,,,,,,,,
O4,1.3,9,,1,1,1,,,,,,,,,,,
O4,1.3,10,,3,,,,,,,,,,,,,
O4,1.3,stigma,,21,,,,,,,,,,,,,
O4,2.1,1,,1,2,2,1,6,2,5,,,,,,,
O4,2.1,2,2,11,1,2,2,1,1,1,,,,,,,
O4,2.1,3,,1,1,,,,,,,,,,,,
O4,2.1,4,,0,,,,,,,,,,,,,
O4,2.1,5,,3,1,,,,,,,,,,,,
O4,2.1,6,,0,,,,,,,,,,,,,
O4,2.1,7,,3,,,,,,,,,,,,,
O4,2.1,8,,2,,,,,,,,,,,,,
O4,2.1,9,,2,1,1,1,2,,,,,,,,,
O4,2.1,10,2,1,2,,,,,,,,,,,,
O4,2.1,stigma,,29,,,,,,,,,,,,,
O4,2.2,1,1,3,1,,,,,,,,,,,,
O4,2.2,2,,0,,,,,,,,,,,,,
O4,2.2,3,1,1,1,,,,,,,,,,,,
O4,2.2,4,,1,1,1,,,,,,,,,,,
O4,2.2,5,,1,,,,,,,,,,,,,
O4,2.2,6,,3,3,,,,,,,,,,,,
O4,2.2,7,,0,,,,,,,,,,,,,
O4,2.2,8,,1,2,,,,,,,,,,,,
O4,2.2,9,3,1,1,,,,,,,,,,,,
O4,2.2,10,,1,1,1,,,,,,,,,,,
O4,2.2,stigma,,0,,,,,,,,,,,,,
O4,2.3,1,,0,,,,,,,,,,,,,
O4,2.3,2,,1,1,2,,,,,,,,,,,
O4,2.3,3,,1,,,,,,,,,,,,,
O4,2.3,4,,1,,,,,,,,,,,,,
O4,2.3,5,,1,,,,,,,,,,,,,
O4,2.3,6,,5,3,,,,,,,,,,,,
O4,2.3,7,,2,1,1,3,1,2,,,,,,,,
O4,2.3,8,1,1,1,1,1,2,1,1,1,,,,,,
O4,2.3,9,1,2,3,1,1,2,,,,,,,,,
O4,2.3,10,,0,,,,,,,,,,,,,
O4,2.3,stigma,,22,,,,,,,,,,,,,
O4,3.1,1,3,4,1,3,2,1,3,1,3,,,,,,
O4,3.1,2,,3,4,1,,,,,,,,,,,
O4,3.1,3,1,1,6,3,,,,,,,,,,,
O4,3.1,4,,4,1,1,1,,,,,,,,,,
O4,3.1,5,,1,2,5,,,,,,,,,,,
O4,3.1,6,,2,1,,,,,,,,,,,,
O4,3.1,7,,1,4,1,2,,,,,,,,,,
O4,3.1,8,,2,1,5,,,,,,,,,,,
O4,3.1,9,,4,,,,,,,,,,,,,
O4,3.1,10,,1,1,5,,,,,,,,,,,
O4,3.1,stigma,,61,,,,,,,,,,,,,
O4,3.2,1,,8,4,1,2,1,1,1,1,3,1,2,3,1,
O4,3.2,2,1,1,3,3,2,1,2,3,1,5,1,1,1,,
O4,3.2,3,,6,5,4,2,1,,,,,,,,,
O4,3.2,4,1,4,1,8,,,,,,,,,,,
O4,3.2,5,,11,1,1,2,1,1,8,1,1,,,,,
O4,3.2,6,1,3,5,1,15,,,,,,,,,,
O4,3.2,7,,17,1,9,4,3,,,,,,,,,
O4,3.2,8,1,2,2,1,2,1,8,,,,,,,,
O4,3.2,9,3,2,3,1,1,1,1,4,9,3,1,,,,
O4,3.2,10,1,1,1,3,3,1,1,2,1,5,,,,,
O4,3.2,stigma,1,23,,,,,,,,,,,,,
O4,3.3,1,1,2,1,4,3,4,1,,,,,,,,
O4,3.3,2,,7,3,1,2,,,,,,,,,,
O4,3.3,3,,3,2,1,2,3,2,1,,,,,,,
O4,3.3,4,1,8,2,1,1,2,1,4,,,,,,,
O4,3.3,5,,3,2,1,,,,,,,,,,,
O4,3.3,6,2,1,6,1,5,2,,,,,,,,,
O4,3.3,7,1,1,1,11,1,2,1,2,1,1,,,,,
O4,3.3,8,2,3,6,1,4,6,1,,,,,,,,
O4,3.3,9,1,1,1,4,2,1,3,1,,,,,,,
O4,3.3,10,1,5,1,1,5,12,4,1,,,,,,,
O4,3.3,stigma,1,10,,,,,,,,,,,,,
S5,1.1,1,,1,1,1,1,,,,,,,,,,
S5,1.1,2,,3,1,1,1,,,,,,,,,,
S5,1.1,3,,1,,,,,,,,,,,,,
S5,1.1,4,,0,,,,,,,,,,,,,
S5,1.1,5,,1,1,,,,,,,,,,,,
S5,1.1,6,,1,1,1,,,,,,,,,,,
S5,1.1,7,,2,1,,,,,,,,,,,,
S5,1.1,8,1,1,2,,,,,,,,,,,,
S5,1.1,9,,3,1,1,1,,,,,,,,,,
S5,1.1,10,,1,1,,,,,,,,,,,,
S5,1.1,stigma,,0,,,,,,,,,,,,,
S5,1.2,1,1,2,2,2,3,2,2,1,1,,,,,,
S5,1.2,2,1,1,2,1,1,,,,,,,,,,
S5,1.2,3,1,13,1,3,,,,,,,,,,,
S5,1.2,4,,2,1,2,,,,,,,,,,,
S5,1.2,5,1,1,3,2,1,1,5,,,,,,,,
S5,1.2,6,,7,1,1,,,,,,,,,,,
S5,1.2,7,,1,,,,,,,,,,,,,
S5,1.2,8,,2,1,,,,,,,,,,,,
S5,1.2,9,,1,1,1,,,,,,,,,,,
S5,1.2,10,,1,,,,,,,,,,,,,
S5,1.2,stigma,,2,,,,,,,,,,,,,
S5,1.3,1,,1,1,,,,,,,,,,,,
S5,1.3,2,1,1,1,,,,,,,,,,,,
S5,1.3,3,,1,1,,,,,,,,,,,,
S5,1.3,4,,0,,,,,,,,,,,,,
S5,1.3,5,1,0,,,,,,,,,,,,,
S5,1.3,6,,1,,,,,,,,,,,,,
S5,1.3,7,,1,1,1,,,,,,,,,,,
S5,1.3,8,2,2,1,,,,,,,,,,,,
S5,1.3,9,,1,,,,,,,,,,,,,
S5,1.3,10,3,1,1,,,,,,,,,,,,
S5,1.3,stigma,1,4,,,,,,,,,,,,,
S5,2.1,1,,1,1,1,,,,,,,,,,,
S5,2.1,2,,1,1,1,1,1,1,,,,,,,,
S5,2.1,3,,1,1,2,1,1,,,,,,,,,
S5,2.1,4,,0,,,,,,,,,,,,,
S5,2.1,5,,2,1,1,,,,,,,,,,,
S5,2.1,6,,2,1,1,,,,,,,,,,,
S5,2.1,7,,2,3,,,,,,,,,,,,
S5,2.1,8,,1,1,1,,,,,,,,,,,
S5,2.1,9,1,1,2,2,1,3,,,,,,,,,
S5,2.1,10,1,5,1,1,1,1,1,,,,,,,,
S5,2.1,stigma,,3,,,,,,,,,,,,,
S5,2.2,1,1,2,4,,,,,,,,,,,,
S5,2.2,2,1,3,1,2,1,,,,,,,,,,
S5,2.2,3,1,14,1,1,1,2,1,,,,,,,,
S5,2.2,4,,1,1,,,,,,,,,,,,
S5,2.2,5,,5,3,,,,,,,,,,,,
S5,2.2,6,,1,1,3,,,,,,,,,,,
S5,2.2,7,,4,1,1,,,,,,,,,,,
S5,2.2,8,,1,6,1,1,4,,,,,,,,,
S5,2.2,9,,3,5,,,,,,,,,,,,
S5,2.2,10,,1,,,,,,,,,,,,,
S5,2.2,stigma,,0,,,,,,,,,,,,,
S5,2.3,1,2,1,1,1,,,,,,,,,,,
S5,2.3,2,,1,,,,,,,,,,,,,
S5,2.3,3,,1,,,,,,,,,,,,,
S5,2.3,4,2,0,,,,,,,,,,,,,
S5,2.3,5,,1,,,,,,,,,,,,,
S5,2.3,6,,1,,,,,,,,,,,,,
S5,2.3,7,2,0,,,,,,,,,,,,,
S5,2.3,8,,1,2,,,,,,,,,,,,
S5,2.3,9,,1,2,1,2,1,,,,,,,,,
S5,2.3,10,,1,2,2,,,,,,,,,,,
S5,2.3,stigma,,3,,,,,,,,,,,,,
S5,3.1,1,,2,,,,,,,,,,,,,
S5,3.1,2,,2,1,,,,,,,,,,,,
S5,3.1,3,,1,,,,,,,,,,,,,
S5,3.1,4,,1,,,,,,,,,,,,,
S5,3.1,5,,0,,,,,,,,,,,,,
S5,3.1,6,,0,,,,,,,,,,,,,
S5,3.1,7,,1,,,,,,,,,,,,,
S5,3.1,8,,0,,,,,,,,,,,,,
S5,3.1,9,,0,,,,,,,,,,,,,
S5,3.1,10,,1,,,,,,,,,,,,,
S5,3.1,stigma,,2,,,,,,,,,,,,,
S5,3.2,1,1,2,1,2,1,,,,,,,,,,
S5,3.2,2,2,1,,,,,,,,,,,,,
S5,3.2,3,,1,,,,,,,,,,,,,
S5,3.2,4,,0,,,,,,,,,,,,,
S5,3.2,5,,1,,,,,,,,,,,,,
S5,3.2,6,1,2,2,,,,,,,,,,,,
S5,3.2,7,,0,,,,,,,,,,,,,
S5,3.2,8,,5,1,1,,,,,,,,,,,
S5,3.2,9,,1,,,,,,,,,,,,,
S5,3.2,10,,6,11,,,,,,,,,,,,
S5,3.2,stigma,2,24,31,,,,,,,,,,,,
S5,3.3,1,2,1,1,1,1,3,,,,,,,,,
S5,3.3,2,,1,1,,,,,,,,,,,,
