PlantID,SecondaryID,Cam,treatment,flowering,Date,TimeOut,flowers.shrub,flowers.pot,het.shrub.blooming.neighbours,het.cactus.blooming.neighbours,understory.richness,het.annual.floral.density,understory.assoc
201,na,BS1,shrub,pre,4.10.2017,12:29,0,getfromvid,0,0,5,10,eri.fas
201,na,BO1,open,pre,4.10.2017,12:29,0,getfromvid,0,0,4,16,NO
202,na,BS2,shrub,pre,4.10.2017,12:30,0,getfromvid,1,0,5,29,"amb.sal, ephedra"
202,na,BO2,open,pre,4.10.2017,12:30,0,getfromvid,1,0,2,19,NO
214,na,BS3,shrub,pre,4.10.2017,12:33,0,getfromvid,5,0,3,8,?
214,na,BO3,open,pre,4.10.2017,12:33,0,getfromvid,6,0,3,18,?
215,na,BS4,shrub,pre,4.10.2017,12:32,0,14,6,0,5,8,turp
215,na,BO4,open,pre,4.10.2017,12:32,0,11,5,0,3,15,NO
238,na,BS5,shrub,pre,4.10.2017,12:38,0,16,3,0,5,4,"turp, eri.fas"
238,na,BO5,open,pre,4.10.2017,12:38,0,15,3,0,3,0,NO
249,na,BS6,shrub,pre,4.10.2017,12:40,0,8,4,0,4,0,NO
249,na,BO6,open,pre,4.10.2017,12:40,0,10,2,0,3,0,NO
146,,LS1,shrub,pre,4.10.2017,13:06,0,11,0,0,3,1,NO
146,,LO1,open,pre,4.10.2017,13:06,0,18,0,0,5,0,NO
193,,LS2,shrub,pre,4.10.2017,13:08,0,12,0,0,4,0,NO
193,,LO2,open,pre,4.10.2017,13:08,0,8,0,0,3,1,NO
187,,LS3,shrub,pre,4.10.2017,13:13,0,15,0,0,4,2,NO
187,,LO3,open,pre,4.10.2017,13:13,0,12,0,0,4,19,NO
288,,LS4,shrub,pre,4.10.2017,13:17,0,8,1,0,3,0,NO
288,,LO4,open,pre,4.10.2017,13:17,0,7,1,0,3,0,NO
266,,LS5,shrub,pre,4.10.2017,13:27,0,5,0,0,2,0,NO
266,,LO5,open,pre,4.10.2017,13:27,0,7,0,0,1,0,NO
273,,LS6,shrub,pre,4.10.2017,13:22,0,10,2,0,3,3,NO
273,,LO6,open,pre,4.10.2017,13:22,0,10,2,0,2,0,NO
207,,BS1,shrub,pre,4.11.2017,12:00,0,15,3,0,5,1,eri.fas
207,,BO1,open,pre,4.11.2017,12:00,0,13,3,0,4,98,NO
223,,BS2,shrub,pre,4.11.2017,12:04,0,12,0,0,1,2,NO
223,,BO2,open,pre,4.11.2017,12:04,0,11,0,1,3,2,ephedra
231,,BS3,shrub,pre,4.11.2017,11:55,0,14,2,0,3,12,NO
231,,BO3,open,pre,4.11.2017,11:55,0,14,1,0,2,57,NO
236,,BS4,shrub,pre,4.11.2017,12:06,0,10,1,0,4,14,NO
236,,BO4,open,pre,4.11.2017,12:06,0,10,2,0,2,0,NO
242,,BS5,shrub,pre,4.11.2017,12:09,0,9,2,0,3,24,NO
242,,BO5,open,pre,4.11.2017,12:09,0,10,2,0,2,14,NO
259,,BS6,shrub,pre,4.11.2017,12:11,0,15,2,0,3,0,amb.sal
259,,BO6,open,pre,4.11.2017,12:11,0,14,1,0,4,24,NO
265,,LS1,shrub,pre,4.11.2017,13:26,0,9,4,0,3,1,NO
265,,LO1,open,pre,4.11.2017,13:26,0,11,4,0,3,0,NO
275,,LS2,shrub,pre,4.11.2017,13:21,1,8,0,0,3,0,NO
275,,LO2,open,pre,4.11.2017,13:21,1,12,1,0,3,0,NO
289,,LS3,shrub,pre,4.11.2017,13:16,0,8,0,0,5,0,ephedra
289,,LO3,open,pre,4.11.2017,13:16,0,7,0,0,2,1,NO
191,,LS4,shrub,pre,4.11.2017,13:12,0,10,0,0,4,0,NO
191,,LO4,open,pre,4.11.2017,13:12,0,11,0,0,2,0,NO
196,,LS5,shrub,pre,4.11.2017,13:05,2,8,1,0,3,30,ephedra
196,,LO5,open,pre,4.11.2017,13:05,2,8,0,0,3,12,NO
194,,LS6,shrub,pre,4.11.2017,13:00,0,10,0,0,3,2,NO
194,,LO6,open,pre,4.11.2017,13:00,0,9,0,0,2,0,NO
203,,BS1,shrub,pre,4.12.2017,13:03,0,6,7,0,2,1,ephedra
203,,BO1,open,pre,4.12.2017,13:03,0,7,7,0,2,46,NO
204,,BS2,shrub,pre,4.12.2017,13:06,0,12,3,0,4,14,s.mexicana
204,,BO2,open,pre,4.12.2017,13:06,0,10,3,0,3,35,no
217,,BS3,shrub,pre,4.12.2017,13:18,0,8,0,0,2,0,acamp
217,,BO3,open,pre,4.12.2017,13:18,0,8,2,0,3,2,no
234,,BS4,shrub,pre,4.12.2017,13:27,0,8,2,0,2,0,no
234,,BO4,open,pre,4.12.2017,13:27,0,9,2,0,2,0,no
237,,BS5,shrub,pre,4.12.2017,13:33,0,9,1,0,2,0,"turp, spiny medora, amb.sal"
237,,BO5,open,pre,4.12.2017,13:33,0,9,1,0,1,0,NO
241,,BS6,shrub,pre,4.12.2017,13:42,0,9,0,0,2,0,NO
241,,BO6,open,pre,4.12.2017,13:42,0,8,0,0,2,0,NO
263,,LS1,shrub,pre,4.12.2017,12:37,0,6,0,0,2,0,silver.cholla
263,,LO1,open,pre,4.12.2017,12:37,0,7,0,0,2,0,NO
272,,LS2,shrub,pre,4.12.2017,12:42,0,9,1,0,3,3,"amb.sal, turp, acamp"
272,,LO2,open,pre,4.12.2017,12:42,0,9,0,0,2,2,NO
296,,LS3,shrub,pre,4.12.2017,12:28,1,6,1,0,3,24,ephedra
296,,LO3,open,pre,4.12.2017,12:28,1,6,0,0,1,0,NO
190,,LS4,shrub,pre,4.12.2017,12:33,0,11,1,0,4,14,NO
190,,LO4,open,pre,4.12.2017,12:33,0,13,0,0,3,1,NO
189,,LS5,shrub,pre,4.12.2017,12:18,1,15,1,0,4,0,NO
189,,LO5,open,pre,4.12.2017,12:18,1,15,0,0,2,1,NO
293,,LS6,shrub,pre,4.12.2017,12:12,0,7,1,0,3,0,NO
293,,LO6,open,pre,4.12.2017,12:12,0,6,2,0,4,16,NO
208,,BS1,shrub,pre,4.13.2017,12:32,0,10,3,0,2,0,s.mexicana
208,,BO1,open,pre,4.13.2017,12:32,0,10,4,0,3,0,NO
230,,BS2,shrub,pre,4.13.2017,12:42,0,9,7,0,2,0,s.mexicana
230,,BO2,open,pre,4.13.2017,12:42,0,9,9,0,2,18,NO
239,,BS3,shrub,pre,4.13.2017,12:48,0,9,3,0,2,0,s.mexicana
239,,BO3,open,pre,4.13.2017,12:48,0,9,1,0,1,0,NO
244,,BS4,shrub,pre,4.13.2017,12:58,0,8,4,0,2,0,turp
244,,BO4,open,pre,4.13.2017,12:58,0,8,4,0,1,0,NO
248,,BS5,shrub,pre,4.13.2017,13:05,0,8,2,0,2,0,NO
248,,BO5,open,pre,4.13.2017,13:05,0,8,4,0,1,0,NO
253,,BS6,shrub,pre,4.13.2017,13:18,0,6,5,0,2,4,NO
253,,BO6,open,pre,4.13.2017,13:18,0,6,2,0,2,1,NO
262,,LS1,shrub,pre,4.13.2017,11:12,0,7,2,0,2,0,no
262,,LO1,open,pre,4.13.2017,11:12,0,7,2,0,3,0,NO
180,,LS2,shrub,pre,4.13.2017,11:22,0,7,2,0,4,1,acamp
180,,LO2,open,pre,4.13.2017,11:22,0,7,0,0,3,1,NO
186,,LS3,shrub,pre,4.13.2017,11:39,0,7,2,0,4,14,acamp
186,,LO3,open,pre,4.13.2017,11:39,0,7,1,0,4,2,no
192,,LS4,shrub,pre,4.13.2017,11:47,0,8,0,0,2,0,no
192,,LO4,open,pre,4.13.2017,11:47,0,8,1,0,3,0,no
199,,LS5,shrub,pre,4.13.2017,12:03,1,11,0,0,1,0,no
199,,LO5,open,pre,4.13.2017,12:03,1,11,0,0,2,0,no
300,,LS6,shrub,pre,4.13.2017,12:08,0,8,0,0,2,7,no
300,,LO6,open,pre,4.13.2017,12:08,0,8,0,0,2,19,no
211,,BS1,shrub,pre,4.14.2017,13:06,0,8,1,0,5,3,acamp
211,,BO1,open,pre,4.14.2017,13:06,0,8,2,0,3,8,no
213,,BS2,shrub,pre,4.14.2017,13:12,0,7,6,0,4,0,no
213,,BO2,open,pre,4.14.2017,13:12,0,7,7,0,2,0,no
220,,BS3,shrub,pre,4.14.2017,13:22,0,13,0,0,2,0,no
220,,BO3,open,pre,4.14.2017,13:22,0,13,1,0,2,0,no
222,,BS4,shrub,pre,4.14.2017,13:27,0,7,2,0,3,0,amb.sal
222,,BO4,open,pre,4.14.2017,13:27,0,7,2,0,2,0,no
227,,BS5,shrub,pre,4.14.2017,13:32,0,5,3,0,3,1,acamp
227,,BO5,open,pre,4.14.2017,13:32,0,5,3,0,1,0,no
235,,BS6,shrub,pre,4.14.2017,13:37,0,8,7,0,2,0,turp
235,,BO6,open,pre,4.14.2017,13:37,0,8,6,0,2,1,no
268,,LS1,shrub,pre,4.14.2017,14:17,3,7,1,0,2,0,ephedra
268,,LO1,open,pre,4.14.2017,14:17,3,7,0,0,3,0,no
269,,LS2,shrub,pre,4.14.2017,14:22,1,9,2,0,1,0,no
269,,LO2,open,pre,4.14.2017,14:22,1,9,0,0,1,0,no
184,,LS3,shrub,pre,4.14.2017,14:32,1,10,0,0,3,0,no
184,,LO3,open,pre,4.14.2017,14:32,1,10,0,0,2,0,no
188,,LS4,shrub,pre,4.14.2017,14:38,0,8,1,0,2,0,ephedra
188,,LO4,open,pre,4.14.2017,14:38,0,8,0,0,2,0,no
197,,LS5,shrub,pre,4.14.2017,14:46,1,8,0,0,1,0,no
197,,LO5,open,pre,4.14.2017,14:46,1,8,0,0,3,0,no
195,,LS6,shrub,pre,4.14.2017,14:51,1,15,0,0,3,0,acamp
195,,LO6,open,pre,4.14.2017,14:51,1,15,1,0,2,0,no
219,,BS1,shrub,pre,4.15.2017,12:05,0,16,1,0,3,0,acamp
219,,BO1,open,pre,4.15.2017,12:05,0,16,1,0,2,4,no
221,,BS2,shrub,pre,4.15.2017,12:07,0,7,1,1,2,0,acamp
221,,BO2,open,pre,4.15.2017,12:07,0,7,1,1,1,0,no
225,,BS3,shrub,pre,4.15.2017,12:03,0,13,2,0,2,0,acamp
225,,BO3,open,pre,4.15.2017,12:03,0,13,1,0,3,0,no
232,,BS4,shrub,pre,4.15.2017,11:59,0,14,0,0,3,0,acamp
232,,BO4,open,pre,4.15.2017,11:59,0,14,0,0,3,0,no
246,,BS5,shrub,pre,4.15.2017,11:56,0,7,1,0,4,0,no
246,,BO5,open,pre,4.15.2017,11:56,0,7,1,0,3,0,no
258,,BS6,shrub,pre,4.15.2017,11:52,0,6,2,0,1,0,turp
258,,BO6,open,pre,4.15.2017,11:52,0,6,5,0,1,0,no
278,,LS1,shrub,pre,4.15.2017,12:42,0,12,0,0,3,0,no
278,,LO1,open,pre,4.15.2017,12:42,0,12,0,0,3,2,no
280,,LS2,shrub,pre,4.15.2017,12:49,0,10,0,0,2,0,ephedra
280,,LO2,open,pre,4.15.2017,12:49,0,10,1,0,3,0,no
282,,LS3,shrub,pre,4.15.2017,13:05,0,6,0,0,3,0,no
282,,LO3,open,pre,4.15.2017,13:05,0,6,0,0,2,0,no
294,,LS4,shrub,pre,4.15.2017,13:13,0,9,0,0,3,4,ephedra
294,,LO4,open,pre,4.15.2017,13:13,0,9,0,0,3,0,no
295,,LS5,shrub,pre,4.15.2017,13:20,0,6,0,0,4,2,acamp
295,,LO5,open,pre,4.15.2017,13:20,0,6,0,0,2,4,no
299,,LS6,shrub,pre,4.15.2017,13:28,0,11,0,0,2,0,acamp
299,,LO6,open,pre,4.15.2017,13:28,0,11,0,0,3,0,no
205,,BS1,shrub,pre,4.16.2017,12:48,0,6,3,0,4,0,ephedra
205,,BO1,open,pre,4.16.2017,12:48,0,6,4,0,3,4,no
209,,BS2,shrub,pre,4.16.2017,12:53,0,7,1,0,2,0,no
209,,BO2,open,pre,4.16.2017,12:53,0,7,1,0,2,0,no
243,,BS3,shrub,pre,4.16.2017,13:08,0,5,0,0,1,0,amb.sal
243,,BO3,open,pre,4.16.2017,13:08,0,5,0,0,3,1,no
245,,BS4,shrub,pre,4.16.2017,13:15,0,8,1,0,1,0,ephedra
245,,BO4,open,pre,4.16.2017,13:15,0,8,3,0,1,0,no
252,,BS5,shrub,pre,4.16.2017,13:33,0,7,1,0,3,0,NO
252,,BO5,open,pre,4.16.2017,13:33,0,7,2,0,2,0,no
255,,BS6,shrub,pre,4.16.2017,13:39,0,7,3,0,2,0,no
255,,BO6,open,pre,4.16.2017,13:39,0,7,0,0,2,0,no
264,,LS1,shrub,pre,4.16.2017,11:50,1,12,0,0,2,0,acamp
264,,LO1,open,pre,4.16.2017,11:50,1,12,0,0,1,0,no
276,,LS2,shrub,pre,4.16.2017,12:04,3,6,0,0,2,1,?
276,,LO2,open,pre,4.16.2017,12:04,3,6,0,0,3,0,no
286,,LS3,shrub,pre,4.16.2017,12:09,0,7,0,0,1,3,ephedra
286,,LO3,open,pre,4.16.2017,12:09,0,7,0,0,2,0,no
182,,LS4,shrub,pre,4.16.2017,12:15,3,7,0,0,3,2,no
182,,LO4,open,pre,4.16.2017,12:15,3,7,0,0,2,7,no
185,,LS5,shrub,pre,4.16.2017,12:21,0,12,1,0,4,0,ephedra
185,,LO5,open,pre,4.16.2017,12:21,0,12,1,0,4,0,no
291,,LS6,shrub,pre,4.16.2017,12:29,1,6,2,0,2,1,no
291,,LO6,open,pre,4.16.2017,12:29,1,6,0,0,2,1,no
216,,BS1,shrub,pre,4.18.2017,11:17,0,12,2,0,3,0,"acamp, lycium"
216,,BO1,open,pre,4.18.2017,11:17,0,12,1,0,3,1,no
218,,BS2,shrub,pre,4.18.2017,11:22,0,10,2,0,2,0,s. mexicana
218,,BO2,open,pre,4.18.2017,11:22,0,10,0,0,3,1,no
226,,BS3,shrub,pre,4.18.2017,11:34,0,7,5,0,3,0,no
226,,BO3,open,pre,4.18.2017,11:34,0,7,4,0,3,0,no
254,,BS4,shrub,pre,4.18.2017,11:49,0,9,0,0,2,0,acamp
254,,BO4,open,pre,4.18.2017,11:49,0,9,1,0,1,0,
