InsectID,Date,PlantID,Magnet,Microsite,Flowering,RTU,Order,Family,Subfamily,Tribe,Genus,Species,Common Name,Notes,Specimen Location,,ID Keys Used
Open.184.April.10.2017.Braun.1,4.10.2017,184,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,hoverfly,male,,pinned,Key to the Genera of Nearctic Syrphidae
Open.184.April.10.2017.Braun.2,4.10.2017,184,larrea,open,pre,fly,Diptera,Bombyliidae,Usiinae,,,,,,,pinned,"Wing venation from wikipedia, bugguide"
Shrub.184.April.10.2017.Braun.1,4.10.2017,184,larrea,shrub,pre,bee,Hymenoptera,Megachilidae,,Anthidiini,Anthidium,,wool-carder bee,,,pinned,
Shrub.184.April.10.2017.Braun.2,4.10.2017,184,larrea,shrub,pre,bee,Hymenoptera,Halictidae,Halictinae,,Lasioglossum,,,,,pinned,
Open.189.April.10.2017.Braun.1,4.10.2017,189,larrea,open,pre,bee,Hymenoptera,Halictidae,Halictinae,,Halictus,,,,,pinned,
Open.189.April.10.2017.Braun.2,4.10.2017,189,larrea,open,pre,fly,Diptera,Bombyliidae,Usiinae,,,,,,,pinned,
Open.189.April.10.2017.Braun.3,4.10.2017,189,larrea,open,pre,fly,Diptera,Tachinidae,,,,,,,,pinned,
Open.189.April.10.2017.Braun.4,4.10.2017,189,larrea,open,pre,cuckoo.wasp,Hymenoptera,Chrysididae,,,,,,,,pinned,
Open.189.April.10.2017.Braun.5,4.10.2017,189,larrea,open,pre,cuckoo.wasp,Hymenoptera,Chrysididae,,,,,,,,pinned,
Open.189.April.10.2017.Braun.6,4.10.2017,189,larrea,open,pre,velvet ant,Hymenoptera,Mutillidae,,,,,,,,pinned,
Shrub.189.April.10.2017.Braun.1,4.10.2017,189,larrea,shrub,pre,true.bug,Hymenoptera,Pentamoidae,,,,,,,,pinned,
Shrub.189.April.10.2017.Braun.2,4.10.2017,189,larrea,shrub,pre,wasp,Hymenoptera,,,,,,,,,pinned,
Open.192.April.10.2017.Braun.1,4.10.2017,192,larrea,open,pre,wasp,Hymenoptera,,,,,,,,,pinned,
Open.192.April.10.2017.Braun.2,4.10.2017,192,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Open.192.April.10.2017.Braun.3,4.10.2017,192,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Shrub.192.April.10.2017.Braun.1,4.10.2017,192,larrea,shrub,pre,wasp,Hymenoptera,Sphecidae,,,,,,,,pinned,
Shrub.192.April.10.2017.Braun.2,4.10.2017,192,larrea,shrub,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.192.April.10.2017.Braun.3,4.10.2017,192,larrea,shrub,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
Shrub.192.April.10.2017.Braun.4,4.10.2017,192,larrea,shrub,pre,bee,Hymenoptera,Megachilidae,,,Osmia,,,,,pinned,
Open.194.April.10.2017.Braun.1,4.10.2017,194,larrea,open,pre,bee,Hymenoptera,Apidae,,,Apis,Apis mellifera,honeybee,,,pinned,
Open.194.April.10.2017.Braun.2,4.10.2017,194,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Open.194.April.10.2017.Braun.3,4.10.2017,194,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,male,,pinned,
Open.194.April.10.2017.Braun.4,4.10.2017,194,larrea,open,pre,fly,Diptera,?,,,,,,,,pinned,
Shrub.275.April.10.2017.Braun.1,4.10.2017,275,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Shrub.275.April.10.2017.Braun.2,4.10.2017,275,larrea,shrub,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.275.April.10.2017.Braun.3,4.10.2017,275,larrea,shrub,pre,muscid.fly,Diptera,Sarcophagidae,,,,,,,,pinned,
Shrub.275.April.10.2017.Braun.4,4.10.2017,275,larrea,shrub,pre,fly,Diptera,Asilidae,,,,,,,,pinned,
Open.296.April.10.2017.Braun.1,4.10.2017,296,larrea,open,pre,fly,Diptera,Asilidae,,,,,,,,pinned,
Open.296.April.10.2017.Braun.2,4.10.2017,296,larrea,open,pre,true.bug,Hemiptera,Reduviidae,Harpactorinae,,,,,,,pinned,
Open.296.April.10.2017.Braun.3,4.10.2017,296,larrea,open,pre,bee,Hymenoptera,Andrenidae,,,Andrena,,,,,pinned,
Open.296.April.10.2017.Braun.4,4.10.2017,296,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Open.296.April.10.2017.Braun.5,4.10.2017,296,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Open.296.April.10.2017.Braun.6,4.10.2017,296,larrea,open,pre,fly,Diptera,Bombyliidae,Usiinae,,,,,,,pinned,
Open.296.April.10.2017.Braun.7,4.10.2017,296,larrea,open,pre,fly,Diptera,?,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.1,4.10.2017,296,larrea,shrub,pre,fly,Diptera,Asilidae,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.2,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Andrenidae,,,Calliopsis?,,,,,pinned,
Shrub.296.April.10.2017.Braun.3,4.10.2017,296,larrea,shrub,pre,fly,Diptera,Therevidae?,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.4,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Colletidae,,,Colletes,,,,,pinned,
Shrub.296.April.10.2017.Braun.5,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Halictus,,,,,pinned,
Shrub.296.April.10.2017.Braun.6,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.296.April.10.2017.Braun.7,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.296.April.10.2017.Braun.8,4.10.2017,296,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.9,4.10.2017,296,larrea,shrub,pre,cuckoo.wasp,Hymenoptera,Chrysididae,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.10,4.10.2017,296,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.11,4.10.2017,296,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Open.187.April.11.2017.Braun.1,4.11.2017,187,larrea,open,pre,cuckoo.wasp,Hymenoptera,Chrysididae,,,,,,,,pinned,
Shrub.187.April.11.2017.Braun.1,4.11.2017,187,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Halictus,,,,,pinned,
Open.193.April.11.2017.Braun.1,4.11.2017,193,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.193.April.11.2017.Braun.2,4.11.2017,193,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.193.April.11.2017.Braun.1,4.11.2017,193,larrea,shrub,pre,fly,Diptera,Muscidae,,,,,,,,pinned,
Shrub.193.April.11.2017.Braun.2,4.11.2017,193,larrea,shrub,pre,fly,Diptera,Muscidae,,,,,,,,pinned,
Shrub.193.April.11.2017.Braun.3,4.11.2017,193,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Open.197.April.11.2017.Braun.1,4.11.2017,197,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.197.April.11.2017.Braun.2,4.11.2017,197,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.197.April.11.2017.Braun.1,4.11.2017,197,larrea,shrub,pre,cuckoo.wasp,Hymenoptera,Chrysididae,,,,,,,,pinned,
Shrub.197.April.11.2017.Braun.2,4.11.2017,197,larrea,shrub,pre,muscid.fly,Diptera,Sarcophagidae,,,,,,,,pinned,
Shrub.266.April.11.2017.Braun.1,4.11.2017,266,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.266.April.11.2017.Braun.2,4.11.2017,266,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.266.April.11.2017.Braun.3,4.11.2017,266,larrea,shrub,pre,wasp,Hymenoptera,Pompilidae,,,,,,,,pinned,
Open.273.April.11.2017.Braun.1,4.11.2017,273,larrea,open,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
Open.273.April.11.2017.Braun.2,4.11.2017,273,larrea,open,pre,fly,Diptera,Bombyliidae,Usiinae,,,,,,,pinned,
Shrub.273.April.11.2017.Braun.1,4.11.2017,273,larrea,shrub,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.273.April.11.2017.Braun.2,4.11.2017,273,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.273.April.11.2017.Braun.3,4.11.2017,273,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.273.April.11.2017.Braun.4,4.11.2017,273,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Open.288.April.11.2017.Braun.1,4.11.2017,288,larrea,open,pre,fly,Diptera,Muscidae,,,,,,,,pinned,
Open.288.April.11.2017.Braun.2,4.11.2017,288,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.288.April.11.2017.Braun.1,4.11.2017,288,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.288.April.11.2017.Braun.2,4.11.2017,288,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.288.April.11.2017.Braun.3,4.11.2017,288,larrea,shrub,pre,fly,Diptera,Sarcophagidae,,,,,,,,pinned,
Shrub.288.April.11.2017.Braun.4,4.11.2017,288,larrea,shrub,pre,bee,Hymenoptera,Andrenidae,,,Andrena,,,,,pinned,
Shrub.288.April.11.2017.Braun.5,4.11.2017,288,larrea,shrub,pre,bee,Hymenoptera,Halictidae?,,,Halictus?,,,one large hair band,,pinned,
Open.180.April.12.2017.Braun.1,4.12.2017,180,larrea,open,pre,fly,Diptera,Tachinidae,,,,,,,,pinned,
Open.180.April.12.2017.Braun.2,4.12.2017,180,larrea,open,pre,wasp,Hymenoptera,? Not sphecidae I think,,,,,,,,pinned,
Open.180.April.12.2017.Braun.3,4.12.2017,180,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.180.April.12.2017.Braun.4,4.12.2017,180,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.180.April.12.2017.Braun.5,4.12.2017,180,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.180.April.12.2017.Braun.1,4.12.2017,180,larrea,shrub,pre,robberfly,Diptera,Asilidae,,,,,,,,,
Shrub.191.April.12.2017.Braun.1,4.12.2017,191,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.191.April.12.2017.Braun.2,4.12.2017,191,larrea,shrub,pre,muscid.fly,Diptera,Tachinidae,,,,,,,,pinned,
Open.196.April.12.2017.Braun.1,4.12.2017,196,larrea,open,pre,wasp,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.196.April.12.2017.Braun.2,4.12.2017,196,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.196.April.12.2017.Braun.3,4.12.2017,196,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.196.April.12.2017.Braun.4,4.12.2017,196,larrea,open,pre,wasp,Hymenoptera,,,,,,,,,pinned,
Shrub.196.April.12.2017.Braun.1,4.12.2017,196,larrea,shrub,pre,robberfly,Hymenoptera,Asilidae,,,,,,,,pinned,
Open.198.April.12.2017.Braun.1,4.12.2017,198,larrea,open,pre,fly,Diptera,acalypterate,,,,,,,,pinned,
Open.198.April.12.2017.Braun.2,4.12.2017,198,larrea,open,pre,fly,Diptera,Muscidae,,,,,,,,pinned,
Shrub.198.April.12.2017.Braun.1,4.12.2017,198,larrea,shrub,pre,robberfly,Hymenoptera,Asilidae,,,,,,,,pinned,
Shrub.198.April.12.2017.Braun.2,4.12.2017,198,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Open.265.April.12.2017.Braun.1,4.12.2017,265,larrea,open,pre,wasp,Hymenoptera,Crabronidae?,,,,,,,,pinned,
Open.265.April.12.2017.Braun.2,4.12.2017,265,larrea,open,pre,wasp,Hymenoptera,?,,,,,,,,pinned,
Open.265.April.12.2017.Braun.3,4.12.2017,265,larrea,open,pre,beetle,Coleoptera,Meloidae,,,Lytta,Lytta auriculata,red-eared blister beetle,,,pinned,
Open.265.April.12.2017.Braun.4,4.12.2017,265,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.265.April.12.2017.Braun.1,4.12.2017,265,larrea,shrub,pre,bee,Hymenoptera,Andrenidae?,,,Andrena?,,,,,pinned,
Shrub.265.April.12.2017.Braun.2,4.12.2017,265,larrea,shrub,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.265.April.12.2017.Braun.3,4.12.2017,265,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.289.April.12.2017.Braun.1,4.12.2017,289,larrea,open,pre,fly,Diptera,Sarcophagidae,,,,,,,,pinned,
Open.289.April.12.2017.Braun.2,4.12.2017,289,larrea,open,pre,fly,Diptera,Muscidae,,,,,,,,pinned,
Shrub.289.April.12.2017.Braun.1,4.12.2017,289,larrea,shrub,pre,robberfly,Hymenoptera,Asilidae,,,,,,,,pinned,
Shrub.289.April.12.2017.Braun.2,4.12.2017,289,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.190.April.13.2017.Braun.1,4.13.2017,190,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Halictus,,,"apical hair bands, submarginal cell veins strong",,pinned,
Open.190.April.13.2017.Braun.2,4.13.2017,190,larrea,open,pre,robberfly,Hymenoptera,Asilidae,,,,,,,,pinned,
Open.190.April.13.2017.Braun.3,4.13.2017,190,larrea,open,pre,robberfly,Hymenoptera,Asilidae,,,,,,,,pinned,
Open.190.April.13.2017.Braun.4,4.13.2017,190,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.190.April.13.2017.Braun.1,4.13.2017,190,larrea,shrub,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.190.April.13.2017.Braun.2,4.13.2017,190,larrea,shrub,pre,wasp,Hymenoptera,Crabonidae,,,,,,,,pinned,
Shrub.190.April.13.2017.Braun.3,4.13.2017,190,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum?,,,,,pinned,
Open.267.April.13.2017.Braun.1,4.13.2017,267,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Open.267.April.13.2017.Braun.2,4.13.2017,267,larrea,open,pre,fly,Diptera,Bombyliidae,Usiinae,,,,,,,pinned,
Shrub.267.April.13.2017.Braun.1,4.13.2017,267,larrea,shrub,pre,fly,Diptera,Calypterate - smooshed,,,,,,,,pinned,
Shrub.267.April.13.2017.Braun.2,4.13.2017,267,larrea,shrub,pre,wasp,Hymenoptera,Crabonidae?,,,,,,,,pinned,
Open.272.April.13.2017.Braun.1,4.13.2017,272,larrea,open,pre,muscid.fly,Diptera,Sarcophagidae,,,,,,,,pinned,
Shrub.272.April.13.2017.Braun.1,4.13.2017,272,larrea,shrub,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
Shrub.272.April.13.2017.Braun.2,4.13.2017,272,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.284.April.13.2017.Braun.1,4.13.2017,284,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.293.April.13.2017.Braun.1,4.13.2017,293,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Open.294.April.13.2017.Braun.1,4.13.2017,294,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.186.April.15.2017.Braun.1,4.15.2017,186,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.186.April.15.2017.Braun.2,4.15.2017,186,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.186.April.15.2017.Braun.3,4.15.2017,186,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.199.April.15.2017.Braun.1,4.15.2017,199,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.199.April.15.2017.Braun.1,4.15.2017,199,larrea,shrub,pre,true.bug,Hemiptera,Reduviidae,Harpactorinae,,,,,,,pinned,
Shrub.199.April.15.2017.Braun.2,4.15.2017,199,larrea,shrub,pre,wasp,Hymenoptera,Pompilidae,,,,,,,,pinned,
Shrub.199.April.15.2017.Braun.3,4.15.2017,199,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.262.April.15.2017.Braun.1,4.15.2017,262,larrea,open,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
Shrub.262.April.15.2017.Braun.1,4.15.2017,262,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.262.April.15.2017.Braun.2,4.15.2017,262,larrea,shrub,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
Shrub.262.April.15.2017.Braun.3,4.15.2017,262,larrea,shrub,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
Shrub.262.April.15.2017.Braun.4,4.15.2017,262,larrea,shrub,pre,blister beetle,Coleoptera,Meloidae,,,Cysteodemus,,Desert Spider beetle,,,pinned,
Shrub.269.April.15.2017.Braun.1,4.15.2017,269,larrea,shrub,pre,beetle,Coleoptera,Meloidae,,,Eupompha,Eupompha elegans,,,,pinned,
Shrub.269.April.15.2017.Braun.2,4.15.2017,269,larrea,shrub,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.269.April.15.2017.Braun.3,4.15.2017,269,larrea,shrub,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.276.April.15.2017.Braun.1,4.15.2017,276,larrea,shrub,pre,fly,Diptera,,,,,,,,,pinned,
Shrub.276.April.15.2017.Braun.2,4.15.2017,276,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.300.April.15.2017.Braun.1,4.15.2017,300,larrea,open,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Open.300.April.15.2017.Braun.2,4.15.2017,300,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.300.April.15.2017.Braun.3,4.15.2017,300,larrea,open,pre,wasp,Hymenoptera,Crabonidae,,,,,,,,pinned,
Open.300.April.15.2017.Braun.4,4.15.2017,300,larrea,open,pre,fly,Diptera,Muscidae,,,,,,,,pinned,
Shrub.300.April.15.2017.Braun.1,4.15.2017,300,larrea,shrub,pre,fly,Diptera,acalypterate,,,damaged,,,,,pinned,
Shrub.300.April.15.2017.Braun.2,4.15.2017,300,larrea,shrub,pre,bee,Hymenoptera,Apidae,,,Apis,Apis mellifera,honeybee,,,pinned,
Open.146.April.16.2017.Braun.1,4.16.2017,146,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.146.April.16.2017.Braun.2,4.16.2017,146,larrea,open,pre,beetle,Coleoptera,Meloidae,,,Eupompha,Eupompha elegans,,,,pinned,
Open.188.April.16.2017.Braun.1,4.16.2017,188,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.188.April.16.2017.Braun.2,4.16.2017,188,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.188.April.16.2017.Braun.1,4.16.2017,188,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.188.April.16.2017.Braun.2,4.16.2017,188,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.195.April.16.2017.Braun.1,4.16.2017,195,larrea,open,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
Open.195.April.16.2017.Braun.2,4.16.2017,195,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.195.April.16.2017.Braun.3,4.16.2017,195,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Open.195.April.16.2017.Braun.4,4.16.2017,195,larrea,open,pre,fly,Diptera,Asilidae,,,,,,,,pinned,
Shrub.195.April.16.2017.Braun.1,4.16.2017,195,larrea,shrub,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
Open.268.April.16.2017.Braun.1,4.16.2017,268,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.268.April.16.2017.Braun.1,4.16.2017,268,larrea,shrub,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
